Offset: 0x72c0, Avg Latency: 247 ns
Offset: 0x7300, Avg Latency: 90 ns
Offset: 0x7340, Avg Latency: 120 ns
Offset: 0x7380, Avg Latency: 102 ns
Offset: 0x73c0, Avg Latency: 116 ns
Offset: 0x7400, Avg Latency: 89 ns
Offset: 0x7440, Avg Latency: 113 ns
Offset: 0x7480, Avg Latency: 90 ns
Offset: 0x74c0, Avg Latency: 89 ns
Offset: 0x7500, Avg Latency: 89 ns
Offset: 0x7540, Avg Latency: 113 ns
Offset: 0x7580, Avg Latency: 90 ns
Offset: 0x75c0, Avg Latency: 103 ns
Offset: 0x7600, Avg Latency: 102 ns
Offset: 0x7640, Avg Latency: 113 ns
Offset: 0x7680, Avg Latency: 120 ns
Offset: 0x76c0, Avg Latency: 104 ns
Offset: 0x7700, Avg Latency: 138 ns
Offset: 0x7740, Avg Latency: 182 ns
Offset: 0x7780, Avg Latency: 102 ns
Offset: 0x77c0, Avg Latency: 104 ns
Offset: 0x7800, Avg Latency: 105 ns
Offset: 0x7840, Avg Latency: 105 ns
Offset: 0x7880, Avg Latency: 121 ns
Offset: 0x78c0, Avg Latency: 109 ns
Offset: 0x7900, Avg Latency: 159 ns
Offset: 0x7940, Avg Latency: 104 ns
Offset: 0x7980, Avg Latency: 111 ns
Offset: 0x79c0, Avg Latency: 105 ns
Offset: 0x7a00, Avg Latency: 103 ns
Offset: 0x7a40, Avg Latency: 235 ns
Offset: 0x7a80, Avg Latency: 130 ns
Offset: 0x7ac0, Avg Latency: 115 ns
Offset: 0x7b00, Avg Latency: 121 ns
Offset: 0x7b40, Avg Latency: 103 ns
Offset: 0x7b80, Avg Latency: 104 ns
Offset: 0x7bc0, Avg Latency: 113 ns
Offset: 0x7c00, Avg Latency: 119 ns
Offset: 0x7c40, Avg Latency: 251 ns
Offset: 0x7c80, Avg Latency: 147 ns
Offset: 0x7cc0, Avg Latency: 137 ns
Offset: 0x7d00, Avg Latency: 107 ns
Offset: 0x7d40, Avg Latency: 120 ns
Offset: 0x7d80, Avg Latency: 92 ns
Offset: 0x7dc0, Avg Latency: 92 ns
Offset: 0x7e00, Avg Latency: 91 ns
Offset: 0x7e40, Avg Latency: 146 ns
Offset: 0x7e80, Avg Latency: 89 ns
Offset: 0x7ec0, Avg Latency: 90 ns
Offset: 0x7f00, Avg Latency: 90 ns
Offset: 0x7f40, Avg Latency: 208 ns
Offset: 0x7f80, Avg Latency: 118 ns
Offset: 0x7fc0, Avg Latency: 105 ns
Offset: 0x8000, Avg Latency: 133 ns
Offset: 0x8040, Avg Latency: 112 ns
Offset: 0x8080, Avg Latency: 102 ns
Offset: 0x80c0, Avg Latency: 90 ns
Offset: 0x8100, Avg Latency: 90 ns
Offset: 0x8140, Avg Latency: 91 ns
Offset: 0x8180, Avg Latency: 91 ns
Offset: 0x81c0, Avg Latency: 91 ns
Offset: 0x8200, Avg Latency: 102 ns
Offset: 0x8240, Avg Latency: 91 ns
Offset: 0x8280, Avg Latency: 93 ns
Offset: 0x82c0, Avg Latency: 131 ns
Offset: 0x8300, Avg Latency: 228 ns
Offset: 0x8340, Avg Latency: 92 ns
Offset: 0x8380, Avg Latency: 92 ns
Offset: 0x83c0, Avg Latency: 92 ns
Offset: 0x8400, Avg Latency: 96 ns
Offset: 0x8440, Avg Latency: 91 ns
Offset: 0x8480, Avg Latency: 90 ns
Offset: 0x84c0, Avg Latency: 151 ns
Offset: 0x8500, Avg Latency: 103 ns
Offset: 0x8540, Avg Latency: 91 ns
Offset: 0x8580, Avg Latency: 91 ns
Offset: 0x85c0, Avg Latency: 114 ns
Offset: 0x8600, Avg Latency: 109 ns
Offset: 0x8640, Avg Latency: 91 ns
Offset: 0x8680, Avg Latency: 135 ns
Offset: 0x86c0, Avg Latency: 92 ns
Offset: 0x8700, Avg Latency: 119 ns
Offset: 0x8740, Avg Latency: 94 ns
Offset: 0x8780, Avg Latency: 92 ns
Offset: 0x87c0, Avg Latency: 114 ns
Offset: 0x8800, Avg Latency: 90 ns
Offset: 0x8840, Avg Latency: 103 ns
Offset: 0x8880, Avg Latency: 90 ns
Offset: 0x88c0, Avg Latency: 90 ns
Offset: 0x8900, Avg Latency: 140 ns
Offset: 0x8940, Avg Latency: 113 ns
Offset: 0x8980, Avg Latency: 125 ns
Offset: 0x89c0, Avg Latency: 117 ns
Offset: 0x8a00, Avg Latency: 115 ns
Offset: 0x8a40, Avg Latency: 106 ns
Offset: 0x8a80, Avg Latency: 105 ns
Offset: 0x8ac0, Avg Latency: 106 ns
Offset: 0x8b00, Avg Latency: 106 ns
Offset: 0x8b40, Avg Latency: 117 ns
Offset: 0x8b80, Avg Latency: 125 ns
Offset: 0x8bc0, Avg Latency: 105 ns
Offset: 0x8c00, Avg Latency: 122 ns
Offset: 0x8c40, Avg Latency: 157 ns
Offset: 0x8c80, Avg Latency: 103 ns
Offset: 0x8cc0, Avg Latency: 105 ns
Offset: 0x8d00, Avg Latency: 103 ns
Offset: 0x8d40, Avg Latency: 102 ns
Offset: 0x8d80, Avg Latency: 103 ns
Offset: 0x8dc0, Avg Latency: 153 ns
Offset: 0x8e00, Avg Latency: 110 ns
Offset: 0x8e40, Avg Latency: 132 ns
Offset: 0x8e80, Avg Latency: 106 ns
Offset: 0x8ec0, Avg Latency: 105 ns
Offset: 0x8f00, Avg Latency: 114 ns
Offset: 0x8f40, Avg Latency: 105 ns
Offset: 0x8f80, Avg Latency: 271 ns
Offset: 0x8fc0, Avg Latency: 105 ns
Offset: 0x9000, Avg Latency: 128 ns
Offset: 0x9040, Avg Latency: 106 ns
Offset: 0x9080, Avg Latency: 103 ns
Offset: 0x90c0, Avg Latency: 102 ns
Offset: 0x9100, Avg Latency: 103 ns
Offset: 0x9140, Avg Latency: 179 ns
Offset: 0x9180, Avg Latency: 109 ns
Offset: 0x91c0, Avg Latency: 117 ns
Offset: 0x9200, Avg Latency: 102 ns
Offset: 0x9240, Avg Latency: 103 ns
Offset: 0x9280, Avg Latency: 104 ns
Offset: 0x92c0, Avg Latency: 104 ns
Offset: 0x9300, Avg Latency: 102 ns
Offset: 0x9340, Avg Latency: 229 ns
Offset: 0x9380, Avg Latency: 254 ns
Offset: 0x93c0, Avg Latency: 89 ns
Offset: 0x9400, Avg Latency: 110 ns
Offset: 0x9440, Avg Latency: 90 ns
Offset: 0x9480, Avg Latency: 91 ns
